Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-771b,,0.162,8.73485836,,,transit,3300.0,1.03,5906.0,2016
Kepler-772b,,0.162,12.99207337,,,transit,2250.0,0.98,5714.0,2016
Kepler-773b,,0.128,3.74910006,,,transit,1720.0,1.04,5850.0,2016
Kepler-774b,,0.283,11.0895723,,,transit,3900.0,1.57,6403.0,2016
Kepler-775b,,0.106,0.97486893,,,transit,1300.0,0.92,5468.0,2016
Kepler-776b,,0.114,4.89718784,,,transit,2370.0,0.83,5071.0,2016
Kepler-777b,,0.131,5.72812599,,,transit,1250.0,0.58,4043.0,2016
Kepler-778b,,0.15,3.75574426,,,transit,2930.0,0.81,5102.0,2016
Kepler-779b,,0.082,7.09714223,,,transit,730.0,0.46,3804.0,2016
Kepler-780b,,0.079,0.67737516,,,transit,1700.0,1.01,5769.0,2016
Kepler-781b,,0.258,13.2140732,,,transit,3380.0,0.81,5162.0,2016
Kepler-782b,,0.286,158.6853308,,,transit,1340.0,0.98,5867.0,2016
Kepler-783b,,0.07,4.29264638,,,transit,1770.0,0.93,5521.0,2016
Kepler-784b,,0.141,31.5922646,,,transit,1970.0,1.0,5674.0,2016
Kepler-785b,,1.162,1.97376093,,,transit,2170.0,0.77,4739.0,2016
Kepler-786b,,0.217,53.5293487,,,transit,1670.0,0.81,4838.0,2016
Kepler-787b,,0.114,0.9283105,,,transit,1530.0,0.65,4248.0,2016
Kepler-788b,,0.227,8.39846269,,,transit,5380.0,1.16,6159.0,2016
Kepler-789b,,0.189,8.63847725,,,transit,2980.0,1.01,5870.0,2016
Kepler-790b,,0.194,13.73469807,,,transit,2370.0,0.84,5208.0,2016
Kepler-791b,,0.272,14.5539759,,,transit,4720.0,1.3,6383.0,2016
Kepler-792b,,0.175,11.30119217,,,transit,3930.0,1.09,5971.0,2016
Kepler-793b,,0.122,4.24153639,,,transit,2590.0,0.98,5745.0,2016
Kepler-794b,,0.188,11.13125132,,,transit,2490.0,1.19,5839.0,2016
Kepler-795b,,0.15,29.6193421,,,transit,1490.0,0.94,5631.0,2016
Kepler-796b,,0.116,6.40087618,,,transit,1230.0,0.93,5475.0,2016
Kepler-797b,,0.194,27.07237711,,,transit,2450.0,0.96,5680.0,2016
Kepler-798b,,0.213,13.71933369,,,transit,3540.0,1.19,6224.0,2016
Kepler-799b,,0.614,133.4605235,,,transit,3360.0,0.95,5681.0,2016
Kepler-800b,,0.254,14.13176026,,,transit,3420.0,0.85,5315.0,2016
Kepler-801b,,0.178,11.41928253,,,transit,1370.0,0.67,4435.0,2016
Kepler-802b,,0.316,40.0587473,,,transit,2700.0,0.93,5507.0,2016
Kepler-803b,,0.338,50.28638192,,,transit,2010.0,1.05,5919.0,2016
Kepler-804b,,0.173,14.37457351,,,transit,2110.0,1.01,5817.0,2016
Kepler-804c,,0.102,9.65185017,,,transit,2110.0,1.01,5817.0,2016
Kepler-805b,,0.258,30.8638931,,,transit,2140.0,1.19,6112.0,2016
Kepler-806b,,0.102,8.09219642,,,transit,850.0,0.99,5770.0,2016
Kepler-808b,,0.13,0.63133235,,,transit,1050.0,0.76,4653.0,2016
Kepler-809b,,0.269,55.63934,,,transit,3040.0,0.99,5734.0,2016
Kepler-810b,,0.172,4.59725385,,,transit,5070.0,1.03,5803.0,2016
Kepler-811b,,0.241,23.58447697,,,transit,2760.0,1.01,5747.0,2016
Kepler-812b,,0.317,10.11716531,,,transit,4830.0,1.45,6761.0,2016
Kepler-813b,,0.191,19.12947337,,,transit,2700.0,0.95,5743.0,2016
Kepler-814b,,0.189,6.1469851,,,transit,4330.0,1.15,6162.0,2016
Kepler-815b,,0.367,8.57503552,,,transit,3910.0,1.25,5028.0,2016
Kepler-816b,,0.914,10.50682565,,,transit,3450.0,0.9,5286.0,2016
Kepler-817b,,0.806,3.99010623,,,transit,4570.0,1.03,5861.0,2016
Kepler-818b,,0.456,10.03538581,,,transit,3150.0,0.94,5638.0,2016
Kepler-819b,,0.246,33.1995648,,,transit,2350.0,0.86,5279.0,2016
Kepler-820b,,0.543,127.8338098,,,transit,3230.0,1.23,6260.0,2016
Kepler-821b,,0.117,1.92279873,,,transit,2020.0,0.84,5191.0,2016
Kepler-822b,,0.158,3.22296927,,,transit,3120.0,1.06,5928.0,2016
Kepler-823b,,0.14,4.16809082,,,transit,2920.0,0.98,5643.0,2016
Kepler-824b,,0.167,4.51436633,,,transit,4410.0,1.15,6035.0,2016
Kepler-825b,,0.136,3.77360059,,,transit,2700.0,1.03,5976.0,2016
Kepler-825c,,0.164,8.1818246,,,transit,2700.0,1.03,5976.0,2016
Kepler-826b,,0.112,4.48758907,,,transit,2120.0,1.05,6079.0,2016
Kepler-827b,,0.502,51.92927591,,,transit,4410.0,0.93,5602.0,2016
Kepler-828b,,0.135,0.56785714,,,transit,2040.0,0.81,5039.0,2016
Kepler-829b,,0.188,6.88337562,,,transit,3110.0,0.98,5698.0,2016
Kepler-830b,,0.152,11.29695137,,,transit,3660.0,1.07,6037.0,2016
Kepler-831b,,0.113,5.62153941,,,transit,1880.0,0.99,5732.0,2016
Kepler-832b,,0.184,7.1396941,,,transit,4390.0,0.92,5596.0,2016
Kepler-833b,,0.18,18.7546998,,,transit,1370.0,0.64,4339.0,2016
Kepler-834b,,0.18,13.32388301,,,transit,2000.0,0.7,4554.0,2016
Kepler-835b,,0.249,11.41909375,,,transit,6560.0,1.08,5954.0,2016
Kepler-836b,,0.244,11.36112327,,,transit,3270.0,1.03,5895.0,2016
Kepler-837b,,0.228,16.56059504,,,transit,2760.0,0.85,5403.0,2016
Kepler-838b,,0.244,15.74957994,,,transit,3900.0,0.98,5770.0,2016
Kepler-839b,,0.229,37.8144514,,,transit,2720.0,1.22,6058.0,2016
Kepler-841b,,0.467,124.4198398,,,transit,3430.0,0.85,5324.0,2016
Kepler-842b,,0.143,1.21956827,,,transit,1800.0,0.78,4848.0,2016
Kepler-843b,,0.231,2.05387982,,,transit,4070.0,1.02,5830.0,2016
Kepler-844b,,0.15,2.61302086,,,transit,1290.0,0.59,4128.0,2016
Kepler-845b,,0.182,0.92785982,,,transit,1540.0,0.79,4913.0,2016
Kepler-846b,,0.221,19.80792185,,,transit,4020.0,0.94,5579.0,2016
Kepler-847b,,0.105,2.3432319,,,transit,1730.0,0.83,4940.0,2016
Kepler-848b,,0.152,6.91134416,,,transit,2600.0,1.01,5695.0,2016
Kepler-849b,,0.637,394.6244904,,,transit,2440.0,1.23,6059.0,2016
Kepler-850b,,0.159,7.19303878,,,transit,5010.0,1.06,5932.0,2016
Kepler-851b,,0.15,8.50699658,,,transit,2830.0,0.89,5455.0,2016
Kepler-852b,,0.227,44.9309804,,,transit,2790.0,1.19,6100.0,2016
Kepler-853b,,0.151,7.16892463,,,transit,2000.0,1.3,6350.0,2016
Kepler-855b,,0.745,7.8866311,,,transit,3400.0,1.03,5835.0,2016
Kepler-856b,,0.83,8.02768059,,,transit,3830.0,0.96,5535.0,2016
Kepler-857b,,0.607,85.35129427,,,transit,3390.0,0.99,5773.0,2016
Kepler-858b,,0.434,76.13602028,,,transit,970.0,0.96,5653.0,2016
Kepler-859b,,0.276,20.38177573,,,transit,2980.0,0.81,5020.0,2016
Kepler-860b,,0.289,5.10137945,,,transit,4220.0,1.04,5836.0,2016
Kepler-861b,,0.203,3.94963138,,,transit,2630.0,0.82,5047.0,2016
Kepler-862b,,0.197,3.14866453,,,transit,2630.0,0.88,5333.0,2016
Kepler-863b,,0.259,15.59461874,,,transit,3730.0,0.96,5678.0,2016
Kepler-864b,,0.214,5.83376092,,,transit,5130.0,1.0,5754.0,2016
Kepler-865b,,0.222,14.16399294,,,transit,2170.0,0.93,5570.0,2016
Kepler-866b,,0.145,2.61703254,,,transit,2300.0,0.75,4751.0,2016
Kepler-867b,,0.414,150.242127,,,transit,2690.0,0.92,5541.0,2016
Kepler-868b,,0.183,5.03251791,,,transit,4140.0,0.93,5614.0,2016
Kepler-869b,,0.322,40.4287755,,,transit,3120.0,0.97,5664.0,2016
Kepler-870b,,0.248,21.3587621,,,transit,4010.0,1.01,5857.0,2016
Kepler-871b,,0.334,22.0459018,,,transit,5530.0,1.11,5993.0,2016
Kepler-872b,,0.178,2.57885507,,,transit,3630.0,1.05,5902.0,2016
Kepler-873b,,0.335,20.5533844,,,transit,4560.0,1.18,6163.0,2016
Kepler-874b,,0.352,40.0686727,,,transit,3500.0,1.09,6020.0,2016
Kepler-875b,,0.259,27.5073799,,,transit,4060.0,1.06,5958.0,2016
Kepler-876b,,0.128,5.14438011,,,transit,2400.0,0.81,5060.0,2016
Kepler-877b,,0.189,18.45847097,,,transit,1870.0,0.85,5261.0,2016
Kepler-878b,,0.172,25.9422033,,,transit,1850.0,0.81,5044.0,2016
Kepler-879b,,0.229,33.3855938,,,transit,2520.0,1.02,5792.0,2016
Kepler-880b,,0.237,7.71468975,,,transit,2200.0,1.46,6761.0,2016
Kepler-881b,,0.159,4.44448017,,,transit,4450.0,1.06,5961.0,2016
Kepler-882b,,0.11,3.98953967,,,transit,1710.0,0.9,5476.0,2016
Kepler-883b,,0.159,12.98495573,,,transit,1790.0,1.06,6116.0,2016
Kepler-884b,,0.11,5.69919514,,,transit,1400.0,1.0,5715.0,2016
Kepler-885b,,0.223,18.11472949,,,transit,2060.0,1.21,6187.0,2016
Kepler-886b,,0.136,6.24146367,,,transit,2800.0,1.1,6098.0,2016
Kepler-887b,,0.164,20.42228798,,,transit,2710.0,1.19,6194.0,2016
Kepler-887c,,0.101,7.63846023,,,transit,2710.0,1.19,6194.0,2016
Kepler-888b,,0.157,70.6979061,,,transit,1350.0,0.97,5875.0,2016
Kepler-889b,,0.097,3.744439,,,transit,1670.0,1.14,5961.0,2016
Kepler-890b,,0.793,52.75875577,,,transit,4520.0,1.09,5954.0,2016
Kepler-891b,,0.572,53.44945593,,,transit,4470.0,1.06,5887.0,2016
Kepler-892b,,0.251,13.7521072,,,transit,2100.0,0.75,4747.0,2016
Kepler-893b,,0.27,6.33855761,,,transit,3970.0,1.0,5820.0,2016
Kepler-894b,,0.248,9.803224,,,transit,3600.0,0.87,5603.0,2016
Kepler-895b,,0.137,2.80624233,,,transit,1680.0,0.65,4315.0,2016
Kepler-896b,,0.226,144.547396,,,transit,2920.0,0.84,5262.0,2016
Kepler-897b,,0.213,8.0472642,,,transit,3740.0,1.03,5839.0,2016
Kepler-898b,,0.133,5.8706191,,,transit,1560.0,0.65,4223.0,2016
Kepler-899b,,0.239,19.17891293,,,transit,3390.0,0.93,5595.0,2016
Kepler-900b,,0.186,6.9913086,,,transit,1650.0,0.78,4836.0,2016
Kepler-901b,,0.122,3.51749439,,,transit,790.0,0.59,4184.0,2016
Kepler-902b,,0.227,40.1099547,,,transit,2950.0,0.95,5647.0,2016
Kepler-903b,,0.179,10.3507721,,,transit,2700.0,0.98,5682.0,2016
Kepler-903c,,0.226,62.9228557,,,transit,2700.0,0.98,5682.0,2016
Kepler-904b,,0.158,3.02166863,,,transit,3750.0,1.16,6160.0,2016
Kepler-905b,,0.126,5.08274652,,,transit,1700.0,0.95,5461.0,2016
Kepler-906b,,0.188,41.6979976,,,transit,2470.0,1.06,6035.0,2016
Kepler-907b,,0.107,15.86621821,,,transit,1150.0,1.08,6106.0,2016
Kepler-908b,,0.109,1.34059747,,,transit,820.0,1.11,5973.0,2016
Kepler-909b,,0.131,13.93290318,,,transit,1040.0,1.17,6154.0,2016
Kepler-910b,,0.073,2.36436901,,,transit,1310.0,1.26,6230.0,2016
Kepler-911b,,0.232,20.310501,,,transit,1850.0,1.34,6112.0,2016
Kepler-912b,,0.25,2.53475627,,,transit,4130.0,1.07,5998.0,2016
Kepler-913b,,0.184,10.29672521,,,transit,1950.0,0.63,4687.0,2016
Kepler-914b,,0.123,4.40966548,,,transit,2210.0,1.1,5877.0,2016
Kepler-915b,,0.134,4.59489604,,,transit,2630.0,1.21,6173.0,2016
Kepler-916b,,0.157,32.2968798,,,transit,2510.0,0.85,5248.0,2016
Kepler-917b,,0.17,2.97041437,,,transit,3350.0,0.8,5418.0,2016
Kepler-918b,,0.155,4.85386933,,,transit,4060.0,1.11,6028.0,2016
Kepler-919b,,0.201,11.04603384,,,transit,3980.0,1.15,6113.0,2016
Kepler-920b,,0.216,6.53192704,,,transit,3020.0,0.89,5403.0,2016
Kepler-920c,,0.339,100.8274113,,,transit,3020.0,0.89,5403.0,2016
Kepler-921b,,0.256,51.300634,,,transit,2760.0,0.93,5663.0,2016
Kepler-922b,,0.127,0.93846683,,,transit,1820.0,0.95,5671.0,2016
Kepler-923b,,0.123,6.93366476,,,transit,3150.0,1.11,5988.0,2016
Kepler-924b,,0.274,61.0370117,,,transit,3250.0,1.14,6167.0,2016
Kepler-925b,,0.209,33.8678531,,,transit,2030.0,0.77,4673.0,2016
Kepler-926b,,0.206,52.0688601,,,transit,2510.0,1.01,5806.0,2016
Kepler-927b,,0.153,9.1149903,,,transit,2870.0,0.99,5743.0,2016
Kepler-928b,,0.142,3.9324613,,,transit,1740.0,0.73,4700.0,2016
Kepler-929b,,0.099,0.92103214,,,transit,2700.0,1.01,5869.0,2016
Kepler-930b,,0.19,71.4517775,,,transit,2950.0,1.25,6335.0,2016
Kepler-931b,,0.119,8.03755877,,,transit,1600.0,0.86,5241.0,2016
Kepler-932b,,0.122,1.9214374,,,transit,1560.0,0.87,5331.0,2016
Kepler-933b,,0.219,14.20443009,,,transit,3010.0,0.87,5346.0,2016
Kepler-934b,,0.186,55.6738309,,,transit,1970.0,0.81,5001.0,2016
Kepler-935b,,0.12,4.88083852,,,transit,1570.0,0.78,4830.0,2016
Kepler-936b,,0.129,10.56134221,,,transit,2240.0,0.92,5482.0,2016
Kepler-937b,,0.332,67.668827,,,transit,4830.0,1.15,6095.0,2016
Kepler-937c,,0.238,153.343364,,,transit,4830.0,1.15,6095.0,2016
Kepler-938b,,0.198,52.6298417,,,transit,2810.0,0.92,5533.0,2016
Kepler-939b,,0.156,14.878296,,,transit,3360.0,0.88,5471.0,2016
Kepler-940b,,0.298,59.6225257,,,transit,4300.0,0.97,5769.0,2016
Kepler-941b,,0.275,17.42395198,,,transit,3600.0,0.89,5539.0,2016
Kepler-942b,,0.19,44.96417488,,,transit,710.0,0.81,4861.0,2016
Kepler-943b,,0.529,49.7701438,,,transit,4040.0,0.93,5612.0,2016
Kepler-944b,,0.235,43.3167737,,,transit,3380.0,0.86,5409.0,2016
Kepler-945b,,0.235,31.0033814,,,transit,5030.0,0.97,5718.0,2016
Kepler-946b,,0.172,11.79162572,,,transit,2990.0,0.94,5665.0,2016
Kepler-947b,,0.203,26.9644317,,,transit,3870.0,0.9,5508.0,2016
Kepler-948b,,0.165,7.76846622,,,transit,2880.0,0.96,5679.0,2016
Kepler-949b,,0.26,8.6893073,,,transit,1870.0,0.89,5403.0,2016
Kepler-950b,,0.801,98.7180406,,,transit,4860.0,1.02,5857.0,2016
Kepler-951b,,0.499,71.52530845,,,transit,1330.0,0.77,4834.0,2016
Kepler-952b,,0.682,130.3546919,,,transit,3810.0,1.0,5730.0,2016
Kepler-953b,,0.376,88.40655258,,,transit,780.0,0.95,5416.0,2016
Kepler-953c,,0.106,9.10967112,,,transit,780.0,0.95,5416.0,2016
Kepler-954b,,0.207,16.78176602,,,transit,730.0,0.82,4990.0,2016
Kepler-955b,,0.279,14.53244172,,,transit,2080.0,0.89,5350.0,2016
Kepler-956b,,0.268,5.24867263,,,transit,2060.0,1.1,6040.0,2016
Kepler-957b,,0.491,5.90741354,,,transit,2440.0,0.81,4963.0,2016
Kepler-958b,,0.184,9.7678805,,,transit,1520.0,0.91,5421.0,2016
Kepler-959b,,0.391,14.80074836,,,transit,3270.0,1.6,7005.0,2016
Kepler-960b,,0.204,3.12686223,,,transit,970.0,0.77,4755.0,2016
Kepler-961b,,0.227,16.87727414,,,transit,1980.0,0.96,5582.0,2016
Kepler-962b,,0.176,12.05707239,,,transit,1430.0,0.93,5478.0,2016
Kepler-963b,,0.237,9.97683705,,,transit,2560.0,0.91,5461.0,2016
Kepler-964b,,0.189,13.5225106,,,transit,1560.0,0.93,5427.0,2016
Kepler-965b,,0.302,134.2527298,,,transit,2020.0,1.05,5886.0,2016
Kepler-966b,,0.368,99.747622,,,transit,2520.0,1.02,5840.0,2016
Kepler-967b,,0.21,13.22713379,,,transit,1630.0,0.84,5178.0,2016
Kepler-967c,,0.326,198.7112502,,,transit,1630.0,0.84,5178.0,2016
Kepler-968b,,0.178,3.69298373,,,transit,1020.0,0.76,4598.0,2016
Kepler-968c,,0.151,5.70940492,,,transit,1020.0,0.76,4598.0,2016
Kepler-969b,,0.185,34.1731714,,,transit,1340.0,0.92,5214.0,2016
Kepler-969c,,0.088,1.6829346,,,transit,1340.0,0.92,5214.0,2016
Kepler-970b,,0.247,16.73652231,,,transit,1100.0,0.7,4511.0,2016
Kepler-971b,,0.19,9.59070716,,,transit,1130.0,0.88,5431.0,2016
Kepler-972b,,0.415,7.03932553,,,transit,4250.0,1.15,6146.0,2016
Kepler-973b,,0.175,49.6077331,,,transit,970.0,0.86,5213.0,2016
Kepler-974b,,0.14,4.19449651,,,transit,390.0,0.52,3687.0,2016
Kepler-975b,,0.132,1.97034246,,,transit,1320.0,0.8,4897.0,2016
Kepler-976b,,0.353,105.9564148,,,transit,3300.0,0.87,5232.0,2016
Kepler-977b,,0.234,26.85328322,,,transit,2170.0,0.87,5315.0,2016
Kepler-978b,,0.267,49.6221509,,,transit,2040.0,1.07,6002.0,2016
Kepler-979b,,0.243,8.0880135,,,transit,1980.0,0.87,5310.0,2016
Kepler-980b,,0.238,11.55102504,,,transit,2620.0,1.05,5935.0,2016
Kepler-981b,,0.206,4.46975774,,,transit,2980.0,0.98,5718.0,2016
Kepler-982b,,0.201,15.7738221,,,transit,2290.0,1.16,6139.0,2016
Kepler-983b,,0.211,60.0855082,,,transit,2140.0,1.13,6052.0,2016
Kepler-984b,,0.189,43.0342272,,,transit,1500.0,0.96,5610.0,2016
Kepler-985b,,0.266,116.331901,,,transit,2420.0,0.91,5434.0,2016
Kepler-986b,,0.211,56.4349938,,,transit,1840.0,0.96,5642.0,2016
Kepler-987b,,0.291,105.3033148,,,transit,3050.0,0.97,5637.0,2016
Kepler-988b,,0.185,17.76080053,,,transit,810.0,0.55,4005.0,2016
Kepler-989b,,0.197,7.96431535,,,transit,1580.0,0.82,5074.0,2016
Kepler-990b,,0.232,9.91723428,,,transit,3040.0,1.05,5948.0,2016
Kepler-990c,,0.136,0.53835431,,,transit,3040.0,1.05,5948.0,2016
Kepler-991b,,0.227,82.5342519,,,transit,1200.0,0.64,4392.0,2016
Kepler-992b,,0.145,20.16034462,,,transit,870.0,0.8,4944.0,2016
Kepler-993b,,0.265,22.08557563,,,transit,970.0,0.57,3843.0,2016
Kepler-994b,,0.143,1.15116651,,,transit,550.0,0.56,3934.0,2016
Kepler-995b,,0.241,28.26731672,,,transit,2150.0,0.83,5206.0,2016
Kepler-996b,,0.177,3.77059058,,,transit,3580.0,1.09,6014.0,2016
Kepler-997b,,0.121,2.70730672,,,transit,1500.0,1.22,6150.0,2016
Kepler-998b,,0.207,5.65377733,,,transit,3250.0,1.12,6058.0,2016
Kepler-999b,,0.209,5.99185702,,,transit,1850.0,1.29,6237.0,2016
Kepler-1000b,,0.425,120.0181272,,,transit,3020.0,1.4,6453.0,2016
Kepler-1001b,,0.281,14.30511983,,,transit,3290.0,0.9,5491.0,2016
Kepler-1002b,,0.153,4.33642933,,,transit,1390.0,1.22,6144.0,2016
Kepler-1003b,,0.159,3.55485691,,,transit,2850.0,1.11,6109.0,2016
Kepler-1004b,,0.56,5.28789787,,,transit,3500.0,1.11,4972.0,2016
Kepler-1005b,,0.134,6.49801525,,,transit,1680.0,1.0,5782.0,2016
Kepler-1006b,,0.137,19.76172042,,,transit,1620.0,0.78,5328.0,2016
Kepler-1007b,,0.128,5.18500207,,,transit,1190.0,0.73,4587.0,2016
Kepler-1008b,,0.114,12.43931193,,,transit,980.0,0.81,5066.0,2016
Kepler-1009b,,0.194,11.35011917,,,transit,920.0,0.59,4027.0,2016
Kepler-1010b,,0.207,34.2685705,,,transit,2000.0,0.86,5253.0,2016
Kepler-1011b,,0.256,5.75322197,,,transit,2800.0,0.91,5416.0,2016
Kepler-1012b,,0.115,5.50860439,,,transit,1400.0,0.95,5556.0,2016
Kepler-1013b,,0.192,18.93054959,,,transit,1410.0,0.81,4954.0,2016
Kepler-1014b,,0.213,16.57110363,,,transit,2190.0,0.88,5388.0,2016
Kepler-1015b,,0.317,16.00494214,,,transit,3040.0,1.49,6769.0,2016
Kepler-1016b,,0.194,1.95452434,,,transit,4040.0,0.99,5821.0,2016
Kepler-1016c,,0.328,105.6551369,,,transit,4040.0,0.99,5821.0,2016
Kepler-1017b,,0.178,7.23400469,,,transit,1810.0,0.93,5473.0,2016
Kepler-1018b,,0.23,49.1013514,,,transit,2920.0,0.91,5518.0,2016
Kepler-1019b,,0.13,1.41122985,,,transit,650.0,0.7,4433.0,2016
Kepler-1020b,,0.203,96.9151496,,,transit,1450.0,0.87,5227.0,2016
Kepler-1021b,,0.208,13.47469571,,,transit,2730.0,0.89,5431.0,2016
Kepler-1022b,,0.211,10.99469878,,,transit,1480.0,0.71,4445.0,2016
Kepler-1023b,,0.235,62.1387714,,,transit,2240.0,0.93,5494.0,2016
Kepler-1024b,,0.349,66.4162133,,,transit,3320.0,0.81,5143.0,2016
Kepler-1025b,,0.177,37.3229493,,,transit,2340.0,1.09,6089.0,2016
Kepler-1026b,,0.197,36.5156053,,,transit,1270.0,0.79,4948.0,2016
Kepler-1027b,,0.079,1.9078052,,,transit,950.0,0.91,5436.0,2016
Kepler-1028b,,0.119,2.51462432,,,transit,2060.0,0.9,5522.0,2016
Kepler-1029b,,0.112,4.41769648,,,transit,1380.0,0.82,5030.0,2016
Kepler-1030b,,0.221,19.32952416,,,transit,2590.0,0.8,4983.0,2016
Kepler-1031b,,0.078,1.22621732,,,transit,2420.0,1.09,6011.0,2016
Kepler-1032b,,0.167,3.29011795,,,transit,1980.0,0.77,4647.0,2016
Kepler-1033b,,0.224,7.56052806,,,transit,4650.0,0.94,5547.0,2016
Kepler-1034b,,0.202,12.12400943,,,transit,2300.0,0.83,5198.0,2016
Kepler-1035b,,0.104,2.71407755,,,transit,1330.0,0.98,5763.0,2016
Kepler-1036b,,0.269,122.8808058,,,transit,1650.0,0.95,5533.0,2016
Kepler-1037b,,0.114,1.06378867,,,transit,1470.0,0.82,5105.0,2016
Kepler-1038b,,0.315,148.4603382,,,transit,2030.0,0.87,5335.0,2016
Kepler-1039b,,0.13,0.93488424,,,transit,1060.0,0.79,4870.0,2016
Kepler-1040b,,0.186,201.1214,,,transit,1540.0,0.98,5694.0,2016
Kepler-1041b,,0.262,24.7576421,,,transit,3190.0,1.06,5957.0,2016
Kepler-1042b,,0.195,10.13202575,,,transit,2150.0,0.75,4815.0,2016
Kepler-1043b,,0.227,38.5053398,,,transit,2730.0,0.92,5629.0,2016
Kepler-1044b,,0.238,6.77408868,,,transit,4920.0,1.08,5985.0,2016
Kepler-1045b,,0.24,26.41045478,,,transit,3170.0,0.86,5301.0,2016
Kepler-1046b,,0.153,14.37508035,,,transit,1690.0,1.04,5913.0,2016
Kepler-1047b,,0.186,56.1886887,,,transit,1850.0,1.08,5754.0,2016
Kepler-1047c,,0.088,3.18897601,,,transit,1850.0,1.08,5754.0,2016
Kepler-1048b,,0.144,6.92101021,,,transit,1350.0,0.75,4651.0,2016
Kepler-1049b,,0.085,3.27346074,,,transit,420.0,0.51,3864.0,2016
Kepler-1050b,,0.143,15.3787546,,,transit,1810.0,1.09,6010.0,2016
Kepler-1050c,,0.132,21.1284569,,,transit,1810.0,1.09,6010.0,2016
Kepler-1051b,,0.303,25.96200249,,,transit,3330.0,1.43,6675.0,2016
Kepler-1052b,,0.261,34.8538276,,,transit,3430.0,1.03,5888.0,2016
Kepler-1053b,,0.087,2.41435165,,,transit,560.0,0.74,4529.0,2016
Kepler-1054b,,0.235,4.30655689,,,transit,3400.0,1.22,6209.0,2016
Kepler-1055b,,0.11,2.29503623,,,transit,1380.0,0.98,5723.0,2016
Kepler-1056b,,0.269,27.495606,,,transit,3170.0,1.12,6127.0,2016
Kepler-1057b,,0.3,14.08827448,,,transit,4770.0,1.07,5987.0,2016
Kepler-1058b,,0.243,110.96546,,,transit,1710.0,0.73,4644.0,2016
Kepler-1059b,,0.154,3.76419105,,,transit,2200.0,0.75,4906.0,2016
Kepler-1060b,,0.212,46.8779367,,,transit,2810.0,0.99,5797.0,2016
Kepler-1061b,,0.177,2.75798267,,,transit,1910.0,1.09,6067.0,2016
Kepler-1062b,,0.157,9.30412078,,,transit,1270.0,0.75,4597.0,2016
Kepler-1063b,,0.133,14.07971466,,,transit,1190.0,1.09,5945.0,2016
Kepler-1064b,,0.138,16.54080322,,,transit,1220.0,0.85,5153.0,2016
Kepler-1065b,,0.333,3.60930891,,,transit,3520.0,0.94,5635.0,2016
Kepler-1065c,,0.143,2.37030743,,,transit,3520.0,0.94,5635.0,2016
Kepler-1066b,,0.211,1.93155984,,,transit,1300.0,0.98,5762.0,2016
Kepler-1067b,,0.071,0.76212926,,,transit,2250.0,0.95,5592.0,2016
Kepler-1068b,,0.324,16.92344113,,,transit,5000.0,1.01,5806.0,2016
Kepler-1069b,,0.143,23.8990296,,,transit,1420.0,0.99,5722.0,2016
Kepler-1070b,,0.154,6.2216147,,,transit,3400.0,1.21,6261.0,2016
Kepler-1071b,,0.212,6.1799844,,,transit,3140.0,0.86,5215.0,2016
Kepler-1072b,,0.141,1.5690665,,,transit,3180.0,1.2,6199.0,2016
Kepler-1073b,,0.205,8.67888593,,,transit,2730.0,1.0,5792.0,2016
Kepler-1073c,,0.146,4.02582254,,,transit,2730.0,1.0,5792.0,2016
Kepler-1074b,,0.112,5.94566534,,,transit,800.0,0.6,4002.0,2016
Kepler-1075b,,0.127,1.52372816,,,transit,860.0,0.56,3959.0,2016
Kepler-1076b,,0.071,6.14727918,,,transit,650.0,0.79,4868.0,2016
Kepler-1077b,,0.247,34.3511874,,,transit,3580.0,1.02,5816.0,2016
Kepler-1078b,,0.17,3.00725242,,,transit,3960.0,0.94,5612.0,2016
Kepler-1079b,,0.145,13.24503188,,,transit,1570.0,1.08,5758.0,2016
Kepler-1080b,,0.293,77.2548396,,,transit,2240.0,1.1,5956.0,2016
Kepler-1081b,,0.09,3.85691855,,,transit,1390.0,0.88,5345.0,2016
Kepler-1082b,,0.1,1.5432066,,,transit,2050.0,1.03,5923.0,2016
Kepler-1083b,,0.3,33.4177993,,,transit,2970.0,0.81,5049.0,2016
Kepler-1084b,,0.099,2.05333679,,,transit,1390.0,1.12,6113.0,2016
Kepler-1085b,,0.644,219.3217528,,,transit,4950.0,1.11,6000.0,2016
Kepler-1086b,,0.218,18.78425728,,,transit,1510.0,0.7,4350.0,2016
Kepler-1086c,,0.262,161.5163345,,,transit,1510.0,0.7,4350.0,2016
Kepler-1087b,,0.054,0.69384285,,,transit,1150.0,0.96,5589.0,2016
Kepler-1088b,,0.127,23.12748644,,,transit,980.0,1.08,5975.0,2016
Kepler-1089b,,0.163,5.13248562,,,transit,740.0,0.52,3753.0,2016
Kepler-1090b,,0.201,198.680179,,,transit,2290.0,0.86,5321.0,2016
Kepler-1091b,,0.13,1.43474156,,,transit,2980.0,1.01,5851.0,2016
Kepler-1092b,,0.185,58.6017925,,,transit,2980.0,0.99,5862.0,2016
Kepler-1093b,,0.174,25.0824626,,,transit,2770.0,1.13,6166.0,2016
Kepler-1093c,,0.175,89.722292,,,transit,2770.0,1.13,6166.0,2016
